 61.5838E+03, 33.1494E+03, 102.218E-09,-275.342E+00
 61.1467E+03, 33.0670E+03, 103.144E-09,-272.868E+00
 61.1770E+03, 33.5039E+03, 103.643E-09,-271.556E+00
 61.6838E+03, 33.9130E+03, 102.963E-09,-273.347E+00
 61.9828E+03, 33.6922E+03, 101.971E-09,-276.006E+00
 61.6513E+03, 33.1452E+03, 102.055E-09,-275.781E+00
 61.1661E+03, 33.0342E+03, 103.056E-09,-273.102E+00
 61.1620E+03, 33.4466E+03, 103.603E-09,-271.659E+00
 61.6356E+03, 33.8344E+03, 102.975E-09,-273.315E+00
 61.8971E+03, 33.6203E+03, 102.081E-09,-275.711E+00
 61.5156E+03, 33.1852E+03, 102.423E-09,-274.791E+00
 61.2314E+03, 33.2811E+03, 103.219E-09,-272.669E+00
 61.4840E+03, 33.7042E+03, 103.168E-09,-272.806E+00
 61.9009E+03, 33.7591E+03, 102.249E-09,-275.258E+00
 61.7772E+03, 33.2757E+03, 101.925E-09,-276.131E+00
 61.2098E+03, 32.9569E+03, 102.853E-09,-273.640E+00
 61.0607E+03, 33.3518E+03, 103.723E-09,-271.346E+00
 61.5451E+03, 33.8755E+03, 103.247E-09,-272.597E+00
 61.9534E+03, 33.8096E+03, 102.190E-09,-275.416E+00
 61.7756E+03, 33.3203E+03, 101.985E-09,-275.970E+00
 61.3013E+03, 33.1106E+03, 102.833E-09,-273.694E+00
 61.2585E+03, 33.4530E+03, 103.379E-09,-272.249E+00
 61.6599E+03, 33.7534E+03, 102.811E-09,-273.751E+00
 61.7886E+03, 33.5259E+03, 102.214E-09,-275.350E+00
 61.4669E+03, 33.1927E+03, 102.547E-09,-274.458E+00
 61.1813E+03, 33.2749E+03, 103.331E-09,-272.374E+00
 61.3955E+03, 33.7306E+03, 103.415E-09,-272.153E+00
 61.8987E+03, 33.8889E+03, 102.421E-09,-274.794E+00
 61.8854E+03, 33.4211E+03, 101.856E-09,-276.319E+00
 61.3641E+03, 33.0269E+03, 102.578E-09,-274.374E+00
 61.0718E+03, 33.2152E+03, 103.516E-09,-271.887E+00
 61.3727E+03, 33.7279E+03, 103.467E-09,-272.017E+00
 61.8388E+03, 33.8216E+03, 102.476E-09,-274.649E+00
 61.7258E+03, 33.3641E+03, 102.156E-09,-275.507E+00
 61.2941E+03, 33.1778E+03, 102.936E-09,-273.419E+00
 61.2961E+03, 33.5436E+03, 103.408E-09,-272.173E+00
 61.7428E+03, 33.8353E+03, 102.721E-09,-273.992E+00
 61.8998E+03, 33.5372E+03, 101.969E-09,-276.013E+00
 61.4450E+03, 33.0260E+03, 102.387E-09,-274.886E+00
 61.0033E+03, 33.1322E+03, 103.573E-09,-271.740E+00
 61.2882E+03, 33.7267E+03, 103.670E-09,-271.485E+00
 61.8163E+03, 33.9121E+03, 102.647E-09,-274.191E+00
 61.8744E+03, 33.5301E+03, 102.019E-09,-275.877E+00
 61.4309E+03, 33.1559E+03, 102.585E-09,-274.357E+00
 61.1988E+03, 33.3441E+03, 103.380E-09,-272.247E+00
 61.5083E+03, 33.7322E+03, 103.146E-09,-272.863E+00
 61.7964E+03, 33.6633E+03, 102.372E-09,-274.927E+00
 61.5684E+03, 33.2603E+03, 102.394E-09,-274.868E+00
 61.1910E+03, 33.1727E+03, 103.175E-09,-272.786E+00
